City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
52,Jaciara,BR,2020-01-04 19:47:50,-15.95,-54.98,85.66,64,23,4.16,few clouds,0.0,0.0
53,Hovd,NO,2020-01-04 19:47:50,63.83,10.7,37.0,82,90,25.28,shower snow,0.0,0.0
54,Dikson,RU,2020-01-04 19:44:23,73.51,80.55,0.25,82,100,22.15,overcast clouds,0.0,0.0
55,Coquimbo,CL,2020-01-04 19:45:42,-29.95,-71.34,66.2,72,40,13.87,scattered clouds,0.0,0.0
56,Belem De Sao Francisco,BR,2020-01-04 19:47:51,-8.75,-38.97,77.13,77,100,5.93,moderate rain,0.0,0.0
57,Bethel,US,2020-01-04 19:47:51,60.79,-161.76,-9.4,75,1,5.82,clear sky,0.0,0.0
58,Tarata,PE,2020-01-04 19:47:51,-17.47,-70.03,78.8,50,40,13.87,scattered clouds,0.0,0.0
59,Nanortalik,GL,2020-01-04 19:47:51,60.14,-45.24,30.34,89,100,15.46,light snow,0.0,0.0
60,Chuy,UY,2020-01-04 19:47:52,-33.69,-53.46,74.25,64,13,12.35,few clouds,0.0,0.0
61,Mount Gambier,AU,2020-01-04 19:47:52,-37.83,140.78,53.6,71,90,8.05,overcast clouds,0.0,0.0
62,Avarua,CK,2020-01-04 19:47:52,-21.21,-159.78,78.8,88,1,5.82,light rain,0.0,0.0
63,Severo-Kurilsk,RU,2020-01-04 19:47:52,50.68,156.12,14.34,73,100,3.11,overcast clouds,0.0,0.0
64,Klaksvik,FO,2020-01-04 19:47:52,62.23,-6.59,44.6,100,100,19.46,light rain,0.0,0.0
65,Geraldton,CA,2020-01-04 19:47:52,49.72,-86.95,15.8,85,90,9.17,light snow,0.0,0.0
66,Prince Rupert,CA,2020-01-04 19:47:53,54.32,-130.32,37.4,93,90,12.75,overcast clouds,0.0,0.0
67,Mwinilunga,ZM,2020-01-04 19:47:53,-11.73,24.43,61.36,98,100,2.75,overcast clouds,0.0,0.0
68,Road Town,VG,2020-01-04 19:44:47,18.42,-64.62,82.4,61,20,8.05,few clouds,0.0,0.0
69,Salalah,OM,2020-01-04 19:46:12,17.01,54.1,77.0,73,20,10.29,few clouds,0.0,0.0
70,Bend,US,2020-01-04 19:47:53,44.06,-121.32,42.8,44,1,10.29,clear sky,0.0,0.0
71,Dagatan,PH,2020-01-04 19:47:53,13.74,121.2,79.0,83,86,5.99,light rain,0.0,0.0
72,Yellowknife,CA,2020-01-04 19:47:54,62.45,-114.38,3.2,91,90,16.11,light snow,0.0,0.0
73,Caravelas,BR,2020-01-04 19:45:34,-17.73,-39.27,78.39,84,100,8.88,overcast clouds,0.0,0.0
74,Cap Malheureux,MU,2020-01-04 19:47:54,-19.98,57.61,79.0,94,40,12.03,scattered clouds,0.0,0.0
75,Fortuna,US,2020-01-04 19:47:34,40.6,-124.16,53.01,87,1,4.7,clear sky,0.0,0.0
76,La Peca,PE,2020-01-04 19:47:54,-5.61,-78.44,87.78,40,47,2.26,scattered clouds,0.0,0.0
77,Moth,IN,2020-01-04 19:47:55,25.73,78.95,54.39,79,0,3.42,clear sky,0.0,0.0
78,Fallon,US,2020-01-04 19:47:55,46.84,-105.12,41.0,60,1,11.41,clear sky,0.0,0.0
79,Georgetown,GY,2020-01-04 19:47:55,6.8,-58.16,86.0,66,20,9.17,few clouds,0.0,0.0
80,Bilibino,RU,2020-01-04 19:46:24,68.06,166.44,-4.83,48,0,1.52,clear sky,0.0,0.0
81,Yumen,CN,2020-01-04 19:44:25,40.29,97.04,17.22,63,100,4.25,overcast clouds,0.0,0.0
82,Gizo,IL,2020-01-04 19:47:55,31.8,34.94,52.0,93,40,11.41,scattered clouds,0.0,0.0
83,Sorland,NO,2020-01-04 19:46:33,67.67,12.69,33.22,60,95,19.6,light snow,0.0,0.0
84,Upernavik,GL,2020-01-04 19:47:56,72.79,-56.15,-35.36,97,64,12.21,broken clouds,0.0,0.0
85,Zeya,RU,2020-01-04 19:47:56,53.74,127.27,-20.92,98,0,2.84,clear sky,0.0,0.0
86,Vanavara,RU,2020-01-04 19:47:56,60.35,102.28,3.81,94,100,5.5,overcast clouds,0.0,0.0
87,Shaki,AM,2020-01-04 19:47:56,39.56,46.0,33.8,86,75,6.93,broken clouds,0.0,0.0
88,Sompeta,IN,2020-01-04 19:47:56,18.93,84.6,63.32,94,3,2.64,clear sky,0.0,0.0
89,Souillac,FR,2020-01-04 19:47:57,45.6,-0.6,42.8,81,0,6.93,clear sky,0.0,0.0
90,Adrar,DZ,2020-01-04 19:46:13,27.87,-0.29,51.8,27,85,9.17,overcast clouds,0.0,0.0
91,Russell,US,2020-01-04 19:45:21,38.9,-98.86,48.99,52,1,20.8,clear sky,0.0,0.0
92,Faanui,PF,2020-01-04 19:47:57,-16.48,-151.75,81.45,77,100,12.1,overcast clouds,0.0,0.0
93,Victoria,BN,2020-01-04 19:46:09,5.28,115.24,82.4,78,75,8.05,broken clouds,0.0,0.0
94,Sanmenxia,CN,2020-01-04 19:47:57,34.77,111.19,33.85,97,100,3.4,snow,0.0,0.0
95,Ponta Do Sol,BR,2020-01-04 19:47:58,-20.63,-46.0,72.32,89,100,2.01,moderate rain,0.0,0.0
96,Cayenne,GF,2020-01-04 19:47:58,4.94,-52.33,84.2,70,75,9.17,broken clouds,0.0,0.0
97,Isangel,VU,2020-01-04 19:47:58,-19.55,169.27,76.89,78,5,14.47,light rain,0.0,0.0
98,Naron,ES,2020-01-04 19:47:58,43.52,-8.15,50.0,93,0,3.62,clear sky,0.0,0.0
99,Kaitangata,NZ,2020-01-04 19:47:58,-46.28,169.85,49.23,86,100,7.96,light rain,0.0,0.0
100,Khasan,RU,2020-01-04 19:47:59,42.43,130.64,18.45,64,0,11.34,clear sky,0.0,0.0
101,Kawalu,ID,2020-01-04 19:47:59,-7.38,108.21,70.34,88,45,2.75,scattered clouds,0.0,0.0
102,Ilulissat,GL,2020-01-04 19:44:05,69.22,-51.1,12.2,66,40,11.41,shower rain,0.0,0.0
103,Vohma,EE,2020-01-04 19:47:59,58.63,25.55,35.01,87,30,7.0,scattered clouds,0.0,0.0
104,Hilo,US,2020-01-04 19:47:59,19.71,-155.08,75.2,73,40,3.36,scattered clouds,0.0,0.0
105,Clyde River,CA,2020-01-04 19:44:32,70.47,-68.59,-23.8,67,75,9.17,mist,0.0,0.0
106,Haines Junction,CA,2020-01-04 19:45:02,60.75,-137.51,-8.25,97,100,3.31,overcast clouds,0.0,0.0
107,Gorodishche,RU,2020-01-04 19:48:00,53.27,45.7,33.01,72,100,13.47,overcast clouds,0.0,0.0
108,Jaru,BR,2020-01-04 19:48:00,-10.43,-62.48,78.28,94,100,4.05,moderate rain,0.0,0.0
109,Quatre Cocos,MU,2020-01-04 19:48:00,-20.21,57.76,79.0,94,40,15.75,scattered clouds,0.0,0.0
