City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
56,East London,ZA,2020-01-05 12:40:59,-33.02,27.91,71.6,68,90,19.46,light rain,0,0
57,San Jeronimo,PE,2020-01-05 12:40:59,-13.65,-73.37,53.74,75,88,3.24,overcast clouds,0,0
58,Airai,TL,2020-01-05 12:40:59,-8.93,125.41,69.35,90,99,4.59,light rain,0,0
59,Norman Wells,CA,2020-01-05 12:40:59,65.28,-126.83,-20.2,68,75,5.82,light snow,0,0
60,Talnakh,RU,2020-01-05 12:40:59,69.49,88.39,15.8,92,90,31.32,overcast clouds,0,0
61,Wajima,JP,2020-01-05 12:40:59,37.4,136.9,42.53,59,100,13.65,light snow,0,0
62,Vila,IT,2020-01-05 12:40:59,45.18,8.4,57.2,30,0,4.7,clear sky,0,0
63,Atar,MR,2020-01-05 12:41:00,20.52,-13.05,72.91,12,3,19.62,clear sky,0,0
64,Bandarbeyla,SO,2020-01-05 12:41:00,9.49,50.81,78.44,77,0,11.3,clear sky,0,0
65,Coquimbo,CL,2020-01-05 12:41:00,-29.95,-71.34,59.0,100,90,6.93,light intensity drizzle,0,0
66,Cleveland,US,2020-01-05 12:41:00,41.51,-81.69,32.0,78,90,12.75,overcast clouds,0,0
67,Nuuk,GL,2020-01-05 12:41:00,64.17,-51.74,19.4,92,90,3.36,heavy shower snow,0,0
68,Roma,IT,2020-01-05 12:36:46,41.89,12.48,62.01,50,0,4.7,clear sky,0,0
69,Noyabrsk,RU,2020-01-05 12:41:00,63.2,75.45,25.61,95,100,19.26,light snow,0,0
70,Bluff,AU,2020-01-05 12:41:01,-23.58,149.07,77.04,55,44,14.34,scattered clouds,0,0
71,Port Alfred,ZA,2020-01-05 12:41:01,-33.59,26.89,73.99,80,74,8.99,broken clouds,0,0
72,Shingu,JP,2020-01-05 12:41:01,33.72,135.99,44.71,63,0,10.89,clear sky,0,0
73,Presidencia Roque Saenz Pena,AR,2020-01-05 12:41:01,-26.79,-60.44,83.53,34,17,4.45,few clouds,0,0
74,Goderich,CA,2020-01-05 12:36:02,43.74,-81.71,35.01,88,100,1.99,light snow,0,0
75,Punta Arenas,CL,2020-01-05 12:41:01,-53.16,-70.91,50.0,81,90,12.75,overcast clouds,0,0
76,Butaritari,KI,2020-01-05 12:41:01,3.07,172.79,85.03,76,100,13.09,light rain,0,0
77,Nizwa,OM,2020-01-05 12:41:01,22.93,57.53,69.84,42,55,7.34,broken clouds,0,0
78,Aguie,NE,2020-01-05 12:41:01,13.51,7.78,76.12,16,31,17.4,scattered clouds,0,0
79,Yurty,RU,2020-01-05 12:41:02,56.05,97.64,17.83,84,98,5.86,overcast clouds,0,0
80,Fortuna,US,2020-01-05 12:41:02,40.6,-124.16,46.4,93,90,13.87,overcast clouds,0,0
81,Along,IN,2020-01-05 12:41:02,28.17,94.8,50.59,96,66,2.77,moderate rain,0,0
82,Oranjemund,ZA,2020-01-05 12:41:02,-28.55,16.43,72.68,61,0,18.43,clear sky,0,0
83,Nemuro,JP,2020-01-05 12:41:02,43.32,145.57,26.31,63,39,21.05,light snow,0,0
84,Constitucion,MX,2020-01-05 12:41:02,23.99,-104.67,35.01,85,5,1.25,clear sky,0,0
85,Rochegda,RU,2020-01-05 12:41:02,62.67,43.41,20.12,96,91,5.41,overcast clouds,0,0
