City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,New Norfolk,AU,57.0,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
87,Kahului,US,73.4,clear sky,20.89,-156.47,Maui Seaside Hotel
88,Bambous Virieux,MU,79.0,light intensity shower rain,-20.34,57.76,Casa Tia Villa
89,Najran,SA,89.6,clear sky,17.54,44.22,فندق حياة نجران
90,Vaini,IN,80.6,few clouds,15.34,74.49,Dandeli Lake County
91,Zaraza,VE,74.1,few clouds,9.35,-65.33,Hotel Zaraza
92,Mindelo,PT,53.6,clear sky,41.31,-8.72,Santana Hotel & Spa
93,Mocuba,MZ,84.0,moderate rain,-16.84,36.99,Phama Lodge
95,Natal,BR,84.2,broken clouds,-5.81,-35.21,Monza Palace Hotel
96,Davila,PH,77.0,scattered clouds,18.47,120.58,Blue Ridge Beach Resort
97,Champerico,MX,62.6,clear sky,16.38,-93.6,
98,Meulaboh,ID,83.71,light rain,4.14,96.13,Kost Pria
99,Kruisfontein,ZA,74.39,broken clouds,-34.0,24.73,Oyster Bay House Rental
100,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
102,Biltine,TD,84.52,clear sky,14.53,20.93,Hôtel Trois Étoiles de Biltine
103,Porto Novo,BR,73.4,scattered clouds,-23.68,-45.44,Harmonia
104,Hobart,AU,57.0,scattered clouds,-42.88,147.33,St Ives Apartments
105,Barranca,PE,69.93,overcast clouds,-10.75,-77.76,El Olivar Hospedaje
107,Adrar,DZ,59.0,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
108,Aquiraz,BR,86.0,broken clouds,-3.9,-38.39,Hotel Laguna Blu
109,Lianyuan,CN,54.28,broken clouds,27.69,111.67,Lianyuan Hotel
110,Tongchuan,CN,37.4,mist,34.9,108.95,Yaozhou Hotel
111,Lancaster,US,37.4,overcast clouds,40.04,-76.31,Lancaster Marriott at Penn Square
112,Broome,GB,48.0,broken clouds,52.47,1.45,Angel House B & B
113,Paamiut,GL,22.08,overcast clouds,61.99,-49.67,Yeet Hotel
115,Jacmel,HT,79.09,clear sky,18.24,-72.54,Hotel Florita
116,Rodrigues Alves,BR,75.97,broken clouds,-7.74,-72.65,Hotel José Pereira
117,Golden Gate,US,30.2,clear sky,38.36,-88.2,Zion's Hill Campground
118,Husavik,CA,25.0,light snow,50.56,-96.99,Idle Wheels RV Park
119,Puerto Quijarro,BO,86.0,clear sky,-19.0,-57.72,Hotel Bibosi
120,Albany,US,34.0,overcast clouds,42.65,-73.75,Hilton Albany
121,Codrington,AU,75.2,clear sky,-28.95,153.24,
122,Jardim,BR,82.33,clear sky,-21.48,-56.15,Hotel Estância
123,Alexandria,RO,42.01,broken clouds,43.97,25.33,Hotel Parc Alexandria
124,Sao Felix Do Xingu,BR,75.9,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
125,Katsuura,JP,44.6,few clouds,33.93,134.5,喜楽の湯
126,Georgetown,GY,82.4,scattered clouds,6.8,-58.16,Kanhai's Center
127,Puerto Ayora,EC,77.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
129,Lugovoy,RU,22.51,overcast clouds,59.72,65.88,
130,Ilulissat,GL,12.2,broken clouds,69.22,-51.1,Hotel Arctic
131,Waingapu,ID,84.38,light rain,-9.65,120.26,Pondok Wisata Elim
132,Klaksvik,FO,46.4,scattered clouds,62.23,-6.59,Airbnb rooms
133,Gimli,CA,25.0,light snow,50.63,-96.99,Lakeview Gimli Resort
134,Thinadhoo,MV,81.93,moderate rain,0.53,72.93,
135,Caravelas,BR,82.76,overcast clouds,-17.73,-39.27,Pousada Dos Navegantes
136,Noumea,NC,80.01,clear sky,-22.28,166.46,Hôtel Le Lagon
137,Patu,BR,82.87,overcast clouds,-6.1,-37.64,Pousada Cidade do Sol
139,Artigas,BR,78.64,clear sky,-30.4,-56.46,Hotel Casino San Eugenio del Cuareim
141,San Vicente,EC,74.55,light rain,-0.59,-80.41,La Piedra Hotel
142,Mehamn,NO,24.44,light snow,71.03,27.85,Mehamn Arctic Hotel AS
143,Sihor,IN,77.0,clear sky,21.72,71.96,Hotel Vijay Palace - Sihor
145,Aksarka,RU,20.21,clear sky,66.56,67.8,
146,Vardo,US,36.0,few clouds,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
147,Victoria,BN,82.4,broken clouds,5.28,115.24,Tiara Labuan Hotel
148,Eureka,US,46.4,overcast clouds,40.8,-124.16,Eureka Inn
149,Westport,US,39.2,broken clouds,41.14,-73.36,The Westport Inn
150,Turkan,AF,23.14,overcast clouds,35.6,68.92,
151,Hede,SE,32.0,overcast clouds,60.45,15.49,Scandic
152,Port Elizabeth,US,39.99,overcast clouds,39.31,-74.98,HAMMER RUN
153,Bayshore Gardens,US,55.4,clear sky,27.43,-82.59,Ramada by Wyndham Sarasota
154,Hami,CN,18.72,clear sky,42.84,93.51,Post And Telecommunication Hotel
155,Forest,US,34.0,clear sky,32.36,-89.47,Holiday Inn Express & Suites Forest
156,Fort Dodge,US,39.2,clear sky,42.5,-94.17,"Country Inn & Suites by Radisson, Fort Dodge, IA"
157,Baracoa,CU,77.85,scattered clouds,20.35,-74.5,Hostal Rio Miel
159,Sirnak,TR,41.0,light rain,37.52,42.46,Şehr-i Nuh Otel
160,Labuhan,ID,75.56,light rain,-2.54,115.51,Pondok Indah Gula Habang
162,Russell,US,44.6,clear sky,38.9,-98.86,Quality Inn
163,Dunedin,NZ,55.99,few clouds,-45.87,170.5,Scenic Hotel Southern Cross
164,Sibolga,ID,74.37,light rain,1.74,98.78,Hotel Syariah CN Darussalam
165,Humaita,AR,78.8,scattered clouds,-24.93,-65.37,Paraiso
