City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Sinnamary,GF,80.4,light rain,5.38,-52.96,ALETHEIA Appartement Sinnamary
97,Namatanai,PG,83.77,light rain,-3.66,152.44,Namatanai Hotel
98,Nhulunbuy,AU,80.6,overcast clouds,-12.18,136.78,Gove Peninsula Motel
100,Miri,NG,72.61,broken clouds,10.31,9.75,Focus Guest Inn
102,Lebu,ET,60.8,scattered clouds,8.96,38.73,Dah-Lak Guest House
103,Komsomolskiy,RU,10.13,overcast clouds,67.55,63.78,
104,Ixtapa,MX,87.8,few clouds,20.71,-105.21,Container Inn Puerto Vallarta
105,Strezhevoy,RU,24.8,overcast clouds,60.73,77.6,Sibiryachka
107,Vestmannaeyjar,IS,39.2,broken clouds,63.44,-20.27,Glamping & Camping
108,Rorvik,NO,42.8,broken clouds,64.86,11.24,Hagaheim Seafishing
109,Mujiayingzi,CN,25.63,light snow,42.12,118.78,Jinjiang Hotel
110,Hilo,US,73.4,moderate rain,19.71,-155.08,Hilo Seaside Hotel
111,Umm Lajj,SA,56.19,clear sky,25.02,37.27,Tanal Hotel Apartment
112,Kapaa,US,77.0,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
113,Gladstone,AU,78.8,broken clouds,-23.84,151.26,Metro Hotel and Apartments Gladstone
114,Rawson,AR,65.88,overcast clouds,-43.3,-65.11,Hospedaje Sampedro
115,Flinders,AU,64.0,overcast clouds,-34.58,150.85,Shellharbour Resort & Conference Centre
116,Kodiak,US,51.01,clear sky,39.95,-94.76,
117,Demyansk,RU,27.73,overcast clouds,57.64,32.46,Demyanskaya Gostinitsa
119,Bambanglipuro,ID,75.25,moderate rain,-7.95,110.28,Puri Brata
120,Sawtell,AU,72.0,overcast clouds,-30.38,153.1,Boambee Waters Caravan Park
122,Yatou,CM,82.4,few clouds,3.63,9.81,Village Belart
123,San-Pedro,CI,81.07,clear sky,4.75,-6.64,Hotel Maria
124,Cape Town,ZA,70.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
125,Luganville,VU,80.6,broken clouds,-15.51,167.18,The Espiritu Hotel
126,Havre-Saint-Pierre,CA,19.4,overcast clouds,50.23,-63.6,Auberge Niapiskau
128,Avera,US,55.4,clear sky,33.19,-82.53,
129,Butaritari,KI,85.42,light rain,3.07,172.79,Isles Sunset Lodge
130,Manta,RO,30.72,few clouds,45.1,24.1,Vila Calix
131,Barrow,AR,80.47,light rain,-38.31,-60.23,
132,Coquimbo,CL,66.2,overcast clouds,-29.95,-71.34,Hotel San Juan
133,Prestea,GH,84.13,clear sky,5.43,-2.14,Channel 5
134,Diamantino,BR,85.01,light rain,-14.4,-56.44,Hotel Delta
135,Loughton,GB,46.99,overcast clouds,51.65,0.06,Premier Inn Loughton/Buckhurst Hill hotel
136,Grootfontein,,66.4,moderate rain,-19.56,18.1,Beyer Self-Catering (Accomodation Grootfontein Namibia)
137,Bulnes,CL,71.6,few clouds,-36.74,-72.3,"Casa de Adobe, Natural y Más"
138,Hofn,IS,44.04,broken clouds,64.25,-15.21,Hótel Höfn
139,Weligama,LK,74.05,scattered clouds,5.97,80.42,Weligama Bay Resort
140,Zalantun,CN,10.06,overcast clouds,48.0,122.72,Chengjisihan Hotel
141,East London,ZA,68.0,broken clouds,-33.02,27.91,Tu Casa
142,Cairns,AU,78.8,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
143,Ostrovnoy,RU,16.14,overcast clouds,68.05,39.51,
144,Hobart,AU,50.0,few clouds,-42.88,147.33,St Ives Apartments
145,Nome,US,73.99,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
146,Kavaratti,IN,80.87,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
147,Kilindoni,TZ,83.21,overcast clouds,-7.91,39.67,Bustani B&B
148,Marawi,PH,72.0,scattered clouds,8.0,124.29,Derogongan Residence
149,Vadlapudi,IN,75.33,clear sky,14.32,79.8,
150,Ko Samui,TH,80.67,scattered clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
151,Portland,US,35.01,light rain,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
152,Chicama,PE,73.4,few clouds,-7.84,-79.15,Tiki Surf House
